survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,alive,alone,age_group,age_zscore,fare_zscore
0,3,male,22.0,1,0,7.25,S,Third,man,True,no,False,Young Adult,-0.5654188991856514,-0.5021631365156053
1,1,female,38.0,1,0,71.2833,C,First,woman,False,yes,False,Adult,0.663488390424261,0.7864036178345383
1,3,female,26.0,0,0,7.925,S,Third,woman,False,yes,True,Young Adult,-0.25819207678317324,-0.48857985158126105
1,1,female,35.0,1,0,53.1,S,First,woman,False,yes,False,Young Adult,0.4330682736224024,0.4204940697654092
0,3,male,35.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,0.4330682736224024,-0.48606442844527137
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4778480503138746
0,1,male,54.0,0,0,51.8625,S,First,man,True,no,True,Adult,1.8923956800341732,0.3955913807191113
0,3,male,2.0,3,1,21.075,S,Third,child,False,no,False,Child,-2.1015530111980416,-0.22395733767514675
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,yes,False,Young Adult,-0.18138537118255374,-0.42401799520369554
1,2,female,14.0,1,0,30.0708,C,Second,child,False,yes,False,Teen,-1.1798725439906075,-0.04293139010125909
1,3,female,4.0,1,1,16.7,S,Third,child,False,yes,False,Child,-1.9479395999968028,-0.3119971474347855
1,1,female,58.0,0,0,26.55,S,First,woman,False,yes,True,Adult,2.1996225024366516,-0.11378180431879875
0,3,male,20.0,0,0,8.05,S,Third,man,True,no,True,Young Adult,-0.7190323103868904,-0.48606442844527137
0,3,male,39.0,1,5,31.275,S,Third,man,True,no,False,Adult,0.7402950960248805,-0.01869880977838891
0,3,female,14.0,0,0,7.8542,S,Third,child,False,no,True,Teen,-1.1798725439906075,-0.4900045872454856
1,2,female,55.0,0,0,16.0,S,Second,woman,False,yes,True,Adult,1.9692023856347929,-0.32608351699632776
0,3,male,2.0,4,1,29.125,Q,Third,child,False,no,False,Child,-2.1015530111980416,-0.061964087717411374
1,2,male,28.0,0,0,13.0,S,Second,man,True,yes,True,Young Adult,-0.10457866558193422,-0.38645367226008004
0,3,female,31.0,1,0,18.0,S,Third,woman,False,no,False,Young Adult,0.12584145121992435,-0.28583674682049287
1,3,female,28.0,0,0,7.225,C,Third,woman,False,yes,True,Young Adult,-0.10457866558193422,-0.5026662211428032
0,2,male,35.0,0,0,26.0,S,Second,man,True,no,True,Young Adult,0.4330682736224024,-0.12484966611715337
1,2,male,34.0,0,0,13.0,S,Second,man,True,yes,True,Young Adult,0.3562615680217829,-0.38645367226008004
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,yes,True,Teen,-1.103065838389988,-0.48648299485510005
1,1,male,28.0,0,0,35.5,S,First,man,True,yes,True,Young Adult,-0.10457866558193422,0.06632249221806229
0,3,female,8.0,3,1,21.075,S,Third,child,False,no,False,Child,-1.6407127775943247,-0.22395733767514675
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,yes,False,Adult,0.663488390424261,-0.016434928955998185
0,3,male,28.0,0,0,7.225,C,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.5026662211428032
0,1,male,19.0,3,2,263.0,S,First,man,True,no,False,Young Adult,-0.79583901598751,4.644392599719279
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,yes,True,Young Adult,-0.10457866558193422,-0.4895015026182876
0,3,male,28.0,0,0,7.8958,S,Third,man,True,no,True,Young Adult,-0.10457866558193422,-0.4891674544258282
0,1,male,40.0,0,0,27.7208,C,First,man,True,no,True,Adult,0.8171018016255001,-0.09022134505786503
1,1,female,28.0,1,0,146.5208,C,First,woman,False,yes,False,Young Adult,-0.10457866558193422,2.300436803386727
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,yes,True,Young Adult,-0.10457866558193422,-0.49210144397164657
